47233,ECONOMIA,default
47234,FORMAÇÃO DO MUNDO CONTEMPORÂNEO,default
47231,INTRODUÇÃO A ESTUDO DO DIREITO I,default
47236,METODOLOGIA DO TRABALHO CIENTÍFICO,default
47232,SOCIOLOGIA,default
47239,DIREITO PENAL I,default
47237,INTRODUÇÃO AO ESTUDO DO DIREITO II,default
47241,POLÍTICA,default
47238,TEORIA GERAL DO DIREITO,default
47240,TEORIA GERAL DO ESTADO,default
47246,DIREITO ROMANO E HISTÓRIA DO DIREITO,default
48883,DIREITOS HUMANOS E FUNDAMENTAIS,default
50294,QUÍMICA GERAL,default
45927,LABORATÓRIO DE FENÔMENO DE TRANSPORTES,default
45913,INFORMÁTICA INDUSTRIAL I,default
50299,INTRODUÇÃO À ENGENHARIA MECÂNICA,default
50288,LABORATÓRIO DE QUÍMICA GERAL,default
50358,ALGORITMOS PARA ENGENHARIA,default
50360,DESENHO MECÂNICO APLICADO,default
50361,FÍSICA GERAL I,default
50363,SEMINÁRIOS I,default
50366,ANÁLISE ESTRUTURAL,default
50367,CIÊNCIA DOS MATERIAIS,default
50362,LABORATÓRIO DE FÍSICA GERAL I,default
45322,INTRODUÇÃO A ENGENHARIA QUÍMICA,default
47091,TÓPICOS EM COMPUTAÇÃO,default
49301,GEOMETRIA ANALÍTICA I,default
49582,DIDÁTICA: FUNDAMENTOS DA PRÁTICA DOCENTE,default
45073,LÍNGUA BRASILEIRA DE SINAIS,default
49592,POLÍTICAS PÚBLICAS DE EDUCAÇÃO,default
49586,PRÁTICA DE ENSINO: ESPAÇOS ALTERNATIVOS PARA O ENSINO DE MATEMÁTICA,default
49597,PSICOLOGIA DO DESENVOLVIMENTO E DA APRENDIZAGEM,default
44324,LABORATÓRIO DE ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,default
44325,LABORATÓRIO DE ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II,default
39898,CIÊNCIAS DO AMBIENTE,default
50484,FUNDAMENTOS MATEMÁTICOS PARA COMPUTAÇÃO,default
50138,INTRODUÇÃO À ADMINISTRAÇÃO,default
47070,SISTEMAS OPERACIONAIS,default
47081,LABORATÓRIO DE PROJETO DE SISTEMAS,default
47090,SEGURANÇA E AUDITORIA DE SISTEMAS,default
43414,INTELIGÊNCIA ARTIFICIAL (Virtual),default
47092,MODELAGEM E AVALIAÇÃO DE DESEMPENHO,default
46877,LÍNGUA BRASILEIRA DE SINAIS (Virtual),default
47069,PROJETO E ANÁLISE DE ALGORITMOS,default
47071,TEORIA DE LINGUAGENS,default
47075,COMPUTAÇÃO PARALELA,default
47076,REDES DE COMPUTADORES I,default
47077,COMPILADORES,default
47082,RECUPERAÇÃO DE INFORMAÇÃO,default
47083,OTIMIZAÇÃO DE SISTEMAS,default
47084,INTELIGÊNCIA ARTIFICIAL,default
47085,REDES DE COMPUTADORES II,default
47086,LABORATÓRIO DE REDES E SISTEMAS OPERACIONAIS,default
47087,TRABALHO DE CONCLUSÃO DE CURSO I,default
47088,SEMINÁRIOS III,default
47089,COMPUTAÇÃO DISTRIBUÍDA,default
47093,TRABALHO DE CONCLUSÃO DE CURSO II,default
47094,SEMINÁRIOS IV,default
49917,ASTRONOMIA,default
47832,DIDÁTICA: FUNDAMENTOS DA PRÁTICA DOCENTE,default
